timestamp,city,aqi_actual,aqi_predicted,aqi_category,risk_level,outdoor_activity,mask_recommendation,hour
2025-11-19 19:00:00,Delhi,230,226.55162048339844,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,19
2025-11-19 19:00:00,Los Angeles,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,19
2025-11-19 19:00:00,Mumbai,178,176.66429138183594,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,19
2025-11-19 20:00:00,Cairo,133,132.5931396484375,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,20
2025-11-19 20:00:00,São Paulo,39,39.52536392211914,Good,Low,Unrestricted,Not necessary,20
2025-11-19 20:00:00,New York,9,9.014400482177734,Good,Low,Unrestricted,Not necessary,20
2025-11-19 20:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,20
2025-11-19 20:00:00,Mexico City,115,116.8858642578125,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,20
2025-11-19 20:00:00,Los Angeles,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,20
2025-11-19 20:00:00,Delhi,243,233.87054443359375,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,20
2025-11-19 20:00:00,Mumbai,179,179.0323944091797,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,20
2025-11-19 20:00:00,Beijing,186,186.41432189941406,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,20
2025-11-19 20:00:00,Tokyo,5,4.994343280792236,Good,Low,Unrestricted,Not necessary,20
2025-11-19 21:00:00,Mumbai,178,179.46311950683594,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,21
2025-11-19 21:00:00,Tokyo,5,5.305986404418945,Good,Low,Unrestricted,Not necessary,21
2025-11-19 21:00:00,Mexico City,109,109.54598999023438,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,21
2025-11-19 21:00:00,Los Angeles,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,21
2025-11-19 21:00:00,Delhi,252,242.2316131591797,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,21
2025-11-19 21:00:00,São Paulo,42,41.89800262451172,Good,Low,Unrestricted,Not necessary,21
2025-11-19 21:00:00,Cairo,130,132.5247039794922,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,21
2025-11-19 21:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,21
2025-11-19 21:00:00,Beijing,190,189.7826385498047,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,21
2025-11-19 21:00:00,New York,10,9.918436050415039,Good,Low,Unrestricted,Not necessary,21
2025-11-19 22:00:00,Cairo,128,128.66502380371094,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,22
2025-11-19 22:00:00,London,2,2.2662534713745117,Good,Low,Unrestricted,Not necessary,22
2025-11-19 22:00:00,Mexico City,104,104.75311279296875,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,22
2025-11-19 22:00:00,Beijing,193,194.6670684814453,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,22
2025-11-19 22:00:00,New York,12,11.81873607635498,Good,Low,Unrestricted,Not necessary,22
2025-11-19 22:00:00,Mumbai,177,177.4898223876953,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,22
2025-11-19 22:00:00,Tokyo,6,5.828808784484863,Good,Low,Unrestricted,Not necessary,22
2025-11-19 22:00:00,São Paulo,45,44.98210144042969,Good,Low,Unrestricted,Not necessary,22
2025-11-19 22:00:00,Los Angeles,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,22
2025-11-19 22:00:00,Delhi,261,263.46087646484375,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,22
2025-11-19 23:00:00,Tokyo,7,6.793945789337158,Good,Low,Unrestricted,Not necessary,23
2025-11-19 23:00:00,Cairo,125,125.82395935058594,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,23
2025-11-19 23:00:00,Mexico City,92,93.3864517211914,Moderate,Low,Generally Safe,Not necessary,23
2025-11-19 23:00:00,Delhi,267,265.3042907714844,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,23
2025-11-19 23:00:00,São Paulo,49,48.85267639160156,Good,Low,Unrestricted,Not necessary,23
2025-11-19 23:00:00,Los Angeles,3,2.923198938369751,Good,Low,Unrestricted,Not necessary,23
2025-11-19 23:00:00,Mumbai,175,175.27293395996094,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,23
2025-11-19 23:00:00,New York,13,12.919675827026367,Good,Low,Unrestricted,Not necessary,23
2025-11-19 23:00:00,London,2,2.2662534713745117,Good,Low,Unrestricted,Not necessary,23
2025-11-19 23:00:00,Beijing,194,193.33517456054688,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,23
2025-11-20 00:00:00,Mexico City,81,80.4073486328125,Moderate,Low,Generally Safe,Not necessary,0
2025-11-20 00:00:00,Delhi,268,268.1020202636719,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,0
2025-11-20 00:00:00,Tokyo,7,6.954226493835449,Good,Low,Unrestricted,Not necessary,0
2025-11-20 00:00:00,Beijing,192,193.0185089111328,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,0
2025-11-20 00:00:00,Mumbai,172,171.85044860839844,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,0
2025-11-20 00:00:00,London,3,2.923198938369751,Good,Low,Unrestricted,Not necessary,0
2025-11-20 00:00:00,São Paulo,52,51.77104568481445,Moderate,Low,Generally Safe,Not necessary,0
2025-11-20 00:00:00,Cairo,121,122.34869384765625,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,0
2025-11-20 00:00:00,New York,16,15.787778854370117,Good,Low,Unrestricted,Not necessary,0
2025-11-20 00:00:00,Los Angeles,4,3.8586084842681885,Good,Low,Unrestricted,Not necessary,0
2025-11-20 01:00:00,Delhi,268,268.1615905761719,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,1
2025-11-20 01:00:00,Cairo,118,118.31256866455078,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,1
2025-11-20 01:00:00,Beijing,186,188.10179138183594,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,1
2025-11-20 01:00:00,São Paulo,55,55.08363342285156,Moderate,Low,Generally Safe,Not necessary,1
2025-11-20 01:00:00,Tokyo,8,7.975124835968018,Good,Low,Unrestricted,Not necessary,1
2025-11-20 01:00:00,Los Angeles,5,4.968671798706055,Good,Low,Unrestricted,Not necessary,1
2025-11-20 01:00:00,Mumbai,169,169.5472412109375,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,1
2025-11-20 01:00:00,London,5,4.8280816078186035,Good,Low,Unrestricted,Not necessary,1
2025-11-20 01:00:00,New York,19,18.973114013671875,Good,Low,Unrestricted,Not necessary,1
2025-11-20 01:00:00,Mexico City,74,74.18373107910156,Moderate,Low,Generally Safe,Not necessary,1
2025-11-20 02:00:00,Beijing,177,178.85450744628906,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,2
2025-11-20 02:00:00,Mexico City,68,68.10869598388672,Moderate,Low,Generally Safe,Not necessary,2
2025-11-20 02:00:00,London,6,5.793772220611572,Good,Low,Unrestricted,Not necessary,2
2025-11-20 02:00:00,Los Angeles,6,5.8393120765686035,Good,Low,Unrestricted,Not necessary,2
2025-11-20 02:00:00,Cairo,115,115.91995239257812,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,2
2025-11-20 02:00:00,Delhi,268,267.6601867675781,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,2
2025-11-20 02:00:00,Tokyo,10,9.874268531799316,Good,Low,Unrestricted,Not necessary,2
2025-11-20 02:00:00,Mumbai,168,167.89100646972656,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,2
2025-11-20 02:00:00,São Paulo,57,56.548152923583984,Moderate,Low,Generally Safe,Not necessary,2
2025-11-20 02:00:00,New York,23,22.9847469329834,Good,Low,Unrestricted,Not necessary,2
2025-11-20 03:00:00,London,5,5.214025020599365,Good,Low,Unrestricted,Not necessary,3
2025-11-20 03:00:00,Cairo,111,111.52456665039062,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,3
2025-11-20 03:00:00,Mexico City,66,66.05655670166016,Moderate,Low,Generally Safe,Not necessary,3
2025-11-20 03:00:00,Beijing,168,170.1275177001953,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,3
2025-11-20 03:00:00,New York,27,26.906818389892578,Good,Low,Unrestricted,Not necessary,3
2025-11-20 03:00:00,Mumbai,167,166.60775756835938,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,3
2025-11-20 03:00:00,Los Angeles,8,7.905506610870361,Good,Low,Unrestricted,Not necessary,3
2025-11-20 03:00:00,Tokyo,12,11.773298263549805,Good,Low,Unrestricted,Not necessary,3
2025-11-20 03:00:00,São Paulo,58,58.05674743652344,Moderate,Low,Generally Safe,Not necessary,3
2025-11-20 03:00:00,Delhi,266,265.3113708496094,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,3
2025-11-20 04:00:00,Beijing,167,167.88975524902344,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,4
2025-11-20 04:00:00,London,4,4.097096920013428,Good,Low,Unrestricted,Not necessary,4
2025-11-20 04:00:00,Tokyo,15,14.78433895111084,Good,Low,Unrestricted,Not necessary,4
2025-11-20 04:00:00,Los Angeles,9,8.499543190002441,Good,Low,Unrestricted,Not necessary,4
2025-11-20 04:00:00,Cairo,111,111.56961822509766,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,4
2025-11-20 04:00:00,São Paulo,60,60.01150131225586,Moderate,Low,Generally Safe,Not necessary,4
2025-11-20 04:00:00,Mumbai,166,166.71485900878906,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,4
2025-11-20 04:00:00,Delhi,265,266.5243225097656,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,4
2025-11-20 04:00:00,Mexico City,66,65.97952270507812,Moderate,Low,Generally Safe,Not necessary,4
2025-11-20 04:00:00,New York,33,32.81346130371094,Good,Low,Unrestricted,Not necessary,4
2025-11-20 05:00:00,Delhi,263,264.8288879394531,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,5
2025-11-20 05:00:00,Tokyo,17,16.97026252746582,Good,Low,Unrestricted,Not necessary,5
2025-11-20 05:00:00,New York,40,40.18447494506836,Good,Low,Unrestricted,Not necessary,5
2025-11-20 05:00:00,Mumbai,167,166.73789978027344,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,5
2025-11-20 05:00:00,Mexico City,66,65.89910125732422,Moderate,Low,Generally Safe,Not necessary,5
2025-11-20 05:00:00,Beijing,170,168.91778564453125,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,5
2025-11-20 05:00:00,São Paulo,62,61.10520935058594,Moderate,Low,Generally Safe,Not necessary,5
2025-11-20 05:00:00,London,4,4.053272724151611,Good,Low,Unrestricted,Not necessary,5
2025-11-20 05:00:00,Los Angeles,9,8.983817100524902,Good,Low,Unrestricted,Not necessary,5
2025-11-20 05:00:00,Cairo,118,115.95248413085938,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,5
2025-11-20 06:00:00,New York,47,46.33305740356445,Good,Low,Unrestricted,Not necessary,6
2025-11-20 06:00:00,Delhi,260,258.8454895019531,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,6
2025-11-20 06:00:00,Mumbai,167,166.73789978027344,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,6
2025-11-20 06:00:00,Los Angeles,9,8.985467910766602,Good,Low,Unrestricted,Not necessary,6
2025-11-20 06:00:00,São Paulo,62,62.2372932434082,Moderate,Low,Generally Safe,Not necessary,6
2025-11-20 06:00:00,Tokyo,18,17.943723678588867,Good,Low,Unrestricted,Not necessary,6
2025-11-20 06:00:00,Mexico City,66,65.9013442993164,Moderate,Low,Generally Safe,Not necessary,6
2025-11-20 06:00:00,Beijing,171,170.91128540039062,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,6
2025-11-20 06:00:00,London,2,2.3700616359710693,Good,Low,Unrestricted,Not necessary,6
2025-11-20 06:00:00,Cairo,128,126.84967041015625,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,6
2025-11-20 07:00:00,London,2,2.2082669734954834,Good,Low,Unrestricted,Not necessary,7
2025-11-20 07:00:00,Tokyo,19,18.89113998413086,Good,Low,Unrestricted,Not necessary,7
2025-11-20 07:00:00,São Paulo,62,61.97737503051758,Moderate,Low,Generally Safe,Not necessary,7
2025-11-20 07:00:00,Delhi,258,262.1025695800781,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,7
2025-11-20 07:00:00,Beijing,170,170.67018127441406,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,7
2025-11-20 07:00:00,Mexico City,69,68.39836883544922,Moderate,Low,Generally Safe,Not necessary,7
2025-11-20 07:00:00,Mumbai,167,167.46585083007812,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,7
2025-11-20 07:00:00,New York,52,51.88601303100586,Moderate,Low,Generally Safe,Not necessary,7
2025-11-20 07:00:00,Cairo,139,137.24490356445312,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,7
2025-11-20 07:00:00,Los Angeles,9,8.985467910766602,Good,Low,Unrestricted,Not necessary,7
2025-11-20 08:00:00,Mumbai,168,167.5526885986328,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,8
2025-11-20 08:00:00,Cairo,150,148.90133666992188,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,8
2025-11-20 08:00:00,Mexico City,71,71.24676513671875,Moderate,Low,Generally Safe,Not necessary,8
2025-11-20 08:00:00,Tokyo,19,18.895071029663086,Good,Low,Unrestricted,Not necessary,8
2025-11-20 08:00:00,Los Angeles,9,8.985467910766602,Good,Low,Unrestricted,Not necessary,8
2025-11-20 08:00:00,New York,56,56.435482025146484,Moderate,Low,Generally Safe,Not necessary,8
2025-11-20 08:00:00,São Paulo,61,60.82197570800781,Moderate,Low,Generally Safe,Not necessary,8
2025-11-20 08:00:00,Delhi,257,258.9509582519531,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,8
2025-11-20 08:00:00,London,2,2.066154718399048,Good,Low,Unrestricted,Not necessary,8
2025-11-20 08:00:00,Beijing,165,166.11708068847656,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,8
2025-11-20 09:00:00,Delhi,256,259.4422607421875,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,9
2025-11-20 09:00:00,Los Angeles,9,9.004920959472656,Good,Low,Unrestricted,Not necessary,9
2025-11-20 09:00:00,Mexico City,72,72.30317687988281,Moderate,Low,Generally Safe,Not necessary,9
2025-11-20 09:00:00,Mumbai,169,168.50697326660156,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,9
2025-11-20 09:00:00,São Paulo,59,59.210411071777344,Moderate,Low,Generally Safe,Not necessary,9
2025-11-20 09:00:00,Beijing,157,157.51611328125,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,9
2025-11-20 09:00:00,New York,61,60.97490310668945,Moderate,Low,Generally Safe,Not necessary,9
2025-11-20 09:00:00,Tokyo,17,16.89888572692871,Good,Low,Unrestricted,Not necessary,9
2025-11-20 09:00:00,Cairo,153,152.5379638671875,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,9
2025-11-20 09:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,9
2025-11-20 10:00:00,Cairo,155,154.7238311767578,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,10
2025-11-20 10:00:00,São Paulo,57,57.61864471435547,Moderate,Low,Generally Safe,Not necessary,10
2025-11-20 10:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,10
2025-11-20 10:00:00,Delhi,255,259.2267150878906,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,10
2025-11-20 10:00:00,Los Angeles,9,9.004920959472656,Good,Low,Unrestricted,Not necessary,10
2025-11-20 10:00:00,Mexico City,76,75.79090118408203,Moderate,Low,Generally Safe,Not necessary,10
2025-11-20 10:00:00,Beijing,155,154.74566650390625,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,10
2025-11-20 10:00:00,New York,65,65.32715606689453,Moderate,Low,Generally Safe,Not necessary,10
2025-11-20 10:00:00,Mumbai,171,170.400634765625,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,10
2025-11-20 10:00:00,Tokyo,15,14.573958396911621,Good,Low,Unrestricted,Not necessary,10
2025-11-20 11:00:00,New York,70,69.80448913574219,Moderate,Low,Generally Safe,Not necessary,11
2025-11-20 11:00:00,Los Angeles,9,8.612635612487793,Good,Low,Unrestricted,Not necessary,11
2025-11-20 11:00:00,Mexico City,80,80.0904769897461,Moderate,Low,Generally Safe,Not necessary,11
2025-11-20 11:00:00,Cairo,156,156.64593505859375,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,11
2025-11-20 11:00:00,São Paulo,56,55.72005081176758,Moderate,Low,Generally Safe,Not necessary,11
2025-11-20 11:00:00,Beijing,153,153.23495483398438,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,11
2025-11-20 11:00:00,Mumbai,175,174.420654296875,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,11
2025-11-20 11:00:00,Tokyo,13,13.173233032226562,Good,Low,Unrestricted,Not necessary,11
2025-11-20 11:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,11
2025-11-20 11:00:00,Delhi,256,248.84274291992188,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,11
2025-11-20 12:00:00,Tokyo,12,11.998737335205078,Good,Low,Unrestricted,Not necessary,12
2025-11-20 12:00:00,Mexico City,85,84.51048278808594,Moderate,Low,Generally Safe,Not necessary,12
2025-11-20 12:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,12
2025-11-20 12:00:00,Mumbai,179,178.23854064941406,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,12
2025-11-20 12:00:00,Cairo,156,158.2225799560547,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,12
2025-11-20 12:00:00,Delhi,196,204.6783447265625,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,12
2025-11-20 12:00:00,Los Angeles,8,8.072097778320312,Good,Low,Unrestricted,Not necessary,12
2025-11-20 12:00:00,New York,76,76.05213165283203,Moderate,Low,Generally Safe,Not necessary,12
2025-11-20 12:00:00,Beijing,154,153.7309112548828,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,12
2025-11-20 12:00:00,São Paulo,54,54.118247985839844,Moderate,Low,Generally Safe,Not necessary,12
2025-11-20 13:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,13
2025-11-20 13:00:00,New York,81,81.20082092285156,Moderate,Low,Generally Safe,Not necessary,13
2025-11-20 13:00:00,Mexico City,90,89.24916076660156,Moderate,Low,Generally Safe,Not necessary,13
2025-11-20 13:00:00,Tokyo,12,11.823476791381836,Good,Low,Unrestricted,Not necessary,13
2025-11-20 13:00:00,Mumbai,183,182.28875732421875,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,13
2025-11-20 13:00:00,Cairo,157,158.4598388671875,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,13
2025-11-20 13:00:00,São Paulo,53,53.01238250732422,Moderate,Low,Generally Safe,Not necessary,13
2025-11-20 13:00:00,Los Angeles,7,7.0845046043396,Good,Low,Unrestricted,Not necessary,13
2025-11-20 13:00:00,Delhi,188,205.11839294433594,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,13
2025-11-20 13:00:00,Beijing,159,159.49032592773438,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,13
2025-11-20 14:00:00,Mumbai,186,186.2201690673828,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,14
2025-11-20 14:00:00,Beijing,164,163.81857299804688,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,14
2025-11-20 14:00:00,Tokyo,11,11.040437698364258,Good,Low,Unrestricted,Not necessary,14
2025-11-20 14:00:00,Mexico City,97,97.22311401367188,Moderate,Low,Generally Safe,Not necessary,14
2025-11-20 14:00:00,New York,85,84.51048278808594,Moderate,Low,Generally Safe,Not necessary,14
2025-11-20 14:00:00,Cairo,159,160.31288146972656,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,14
2025-11-20 14:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,14
2025-11-20 14:00:00,Delhi,186,183.7402801513672,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,14
2025-11-20 14:00:00,Los Angeles,7,7.066222667694092,Good,Low,Unrestricted,Not necessary,14
2025-11-20 14:00:00,São Paulo,51,51.41606903076172,Moderate,Low,Generally Safe,Not necessary,14
2025-11-20 15:00:00,São Paulo,49,50.05998229980469,Unknown,Extreme,Stay Indoors - Emergency,N95/N99 mask required if going outdoors,15
2025-11-20 15:00:00,Mumbai,188,188.59532165527344,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,15
2025-11-20 15:00:00,Cairo,164,163.91262817382812,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,15
2025-11-20 15:00:00,Mexico City,107,107.00031280517578,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,15
2025-11-20 15:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,15
2025-11-20 15:00:00,Delhi,187,180.2379608154297,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,15
2025-11-20 15:00:00,Beijing,168,167.0564727783203,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,15
2025-11-20 15:00:00,Tokyo,11,11.01939582824707,Good,Low,Unrestricted,Not necessary,15
2025-11-20 15:00:00,New York,87,87.47196197509766,Moderate,Low,Generally Safe,Not necessary,15
2025-11-20 15:00:00,Los Angeles,6,6.13663911819458,Good,Low,Unrestricted,Not necessary,15
2025-11-20 16:00:00,Mumbai,190,189.28504943847656,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,16
2025-11-20 16:00:00,São Paulo,47,47.57533645629883,Good,Low,Unrestricted,Not necessary,16
2025-11-20 16:00:00,Tokyo,11,11.054768562316895,Good,Low,Unrestricted,Not necessary,16
2025-11-20 16:00:00,Beijing,172,171.68954467773438,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,16
2025-11-20 16:00:00,New York,88,87.7348861694336,Moderate,Low,Generally Safe,Not necessary,16
2025-11-20 16:00:00,Delhi,190,184.48788452148438,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,16
2025-11-20 16:00:00,Los Angeles,6,6.13663911819458,Good,Low,Unrestricted,Not necessary,16
2025-11-20 16:00:00,Cairo,164,163.83921813964844,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,16
2025-11-20 16:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,16
